epoch,lr,train_loss,val_loss,val_precision,val_recall,val_f1,val_iou,val_dice

1,0.000956,1.3939,1.7465,0.6601,0.8096,0.7260,0.5715,0.7260
2,0.000725,1.3698,1.7625,0.6415,0.8295,0.7213,0.5660,0.7213
3,0.000395,1.3249,1.7658,0.6340,0.8392,0.7200,0.5643,0.7200
4,0.000111,1.2750,1.7081,0.6652,0.8162,0.7308,0.5774,0.7308
5,0.000000,1.2510,1.7282,0.6576,0.8187,0.7272,0.5731,0.7272
6,0.000021,1.1998,1.7279,0.6690,0.8083,0.7291,0.5757,0.7291
7,0.000046,1.0871,1.5985,0.6730,0.8411,0.7463,0.5968,0.7463
8,0.000050,0.9726,1.7450,0.6763,0.7937,0.7287,0.5754,0.7287
9,0.000049,0.8882,1.7543,0.6928,0.7715,0.7286,0.5770,0.7286
10,0.000048,0.8367,1.5153,0.7021,0.8313,0.7597,0.6144,0.7597
11,0.000047,0.7955,1.5457,0.6863,0.8373,0.7529,0.6055,0.7529
12,0.000045,0.7660,1.5396,0.7009,0.8235,0.7557,0.6094,0.7557
13,0.000043,0.7408,1.5641,0.7009,0.8203,0.7546,0.6078,0.7546
14,0.000040,0.7216,1.6076,0.6982,0.8090,0.7480,0.6002,0.7480
15,0.000038,0.6999,1.5835,0.6936,0.8168,0.7488,0.6005,0.7488
16,0.000034,0.6867,1.5174,0.7258,0.8099,0.7640,0.6205,0.7640
17,0.000031,0.6700,1.5544,0.6981,0.8212,0.7531,0.6058,0.7531
18,0.000028,0.6576,1.5257,0.7086,0.8231,0.7602,0.6153,0.7602
19,0.000024,0.6451,1.5547,0.6977,0.8247,0.7541,0.6073,0.7541
20,0.000021,0.6312,1.5495,0.7101,0.8110,0.7559,0.6095,0.7559
21,0.000017,0.6193,1.5042,0.7053,0.8336,0.7624,0.6183,0.7624
22,0.000014,0.6091,1.5251,0.7063,0.8239,0.7591,0.6134,0.7591
23,0.000011,0.5985,1.6303,0.6679,0.8350,0.7407,0.5897,0.7407
24,0.000008,0.5868,1.5601,0.6976,0.8246,0.7540,0.6073,0.7540
25,0.000006,0.5831,1.5655,0.6956,0.8243,0.7529,0.6055,0.7529
26,0.000004,0.5745,1.5721,0.6923,0.8274,0.7523,0.6048,0.7523
27,0.000002,0.5654,1.6020,0.6824,0.8296,0.7471,0.5982,0.7471
28,0.000001,0.5623,1.5713,0.6934,0.8267,0.7525,0.6052,0.7525
29,0.000000,0.5609,1.5829,0.6894,0.8273,0.7505,0.6024,0.7505
30,0.000000,0.5612,1.5820,0.6896,0.8279,0.7509,0.6029,0.7509
